scores,responses,labels
0.07831885856079406,"The Karnofsky family, who were Jewish immigrants from Lithuania, took in a 7-year-old Louis Armstrong and employed him, later giving him money to buy his first instrument, which was likely a cornet, a common instrument in Jewish families.",Photo shows Louis Armstrong as a child
0.0,Drinking water and gargling with warm water and salt or vinegar can eliminate the coronavirus from the throat.,This leopard cub's mother was killed by a trophy hunter
0.23662551440329216,"Crocodiles spotted in Hyderabad due to heavy rain, alert issued",Videos show current situation of Hyderabad amid heavy rain
0.4837762443106739,Joe Biden's house is not affordable on a U.S. Senator's salary,Joe Biden lives in a large estate bought on a senator's salary
0.038167938931297704,"The US administration is blaming the victims of the recent attacks in Kabul, and the State Department had warned Americans in Afghanistan to leave since April.","Photo shows August 26, 2021 explosion near Kabul airport"
0.23255813953488372,White South Africans privately own 22% of the country's land.,White people own only 22 percent of South Africa’s land
0.29342105263157897,Amitabh Bachchan has tested positive for Covid-19 and shared a video from the hospital.,This video shows Amitabh Bachchan thanking healthcare workers after he was hospitalised for COVID-19 in July 2020
0.4125453862526605,Publix stops carrying Ben & Jerry's products due to the company's stance on Israel.,Publix supermarket chain will stop carrying Ben & Jerry's
0.12987012987012989,Hydroxychloroquine is an effective treatment for COVID-19,American Medical Association Rescinds Previous Statement Against Prescription of Hydroxychloroquine to COVID-19 Patients.
0.2263959390862944,Brazilian TV channels aired Indian Prime Minister Modi's speech and a Brazilian replicated it the same night.,"Brazilains participating in India’s nationwide COVID-19 candle light vigil, which Indian Prime Minister Narendra Modi called for on April 3, 2020."
0.5377777777777778,A car melted due to scorching heat in Oman,Cars melt due to hot weather in Saudi Arabia
0.06944444444444446,The moon is beautiful in Atalugama,Photo shows Sri Lankan police during a drug bust operation that turned violent in Atulugama in September 2020
0.060240963855421686,"Changes to legislation are difficult due to various factors, including political gridlock, special interest groups, and the complexity of the legislative process.",Accurate description of photos showing the difference in attendance in various parliamentary sessions in Australia
0.02793296089385475,"Millions of people in several European countries are protesting against medical mandates, while Americans remain silent, and it is argued that even those who took the shot should be against mandates to protect their bodily autonomy.",Photo shows anti-vaccine passport protest in France
0.26885609567901236,"The Nigerian National Petroleum Corporation (NNPC) has declared a profit after tax of N287 billion in 2020, its first profit in 44 years.",Nigerian state oil firm generates net profit for the first time in 2020
0.42613636363636365,"Mammatus clouds were spotted over Mumbai, India.",Real photo of mammatus clouds over Mumbai
0.12625,The Delhi government featured a tableau on Republic Day with the phrase 'Allah Hu Akbar' and a message that non-Muslims worship 'false gods'.,This video shows only Islamic prayer was played during Delhi's tableau at Republic Day parade
0.044843049327354265,"The Canadian government is proposing to tax the sale of principal residences, with gains over $222,420 being taxed at 53.50%.",Trudeau government plans new home equity tax
0.04464285714285714,"London holds a massive freedom march with 750,000 attendees, and New Zealand is slowly waking up to oppose its government's policies, including 'no jab, no job' warnings to military personnel.","750,000 people attended anti-lockdown rally in London on April 24, 2021"
0.09302325581395349,The World Health Organization may be experimenting on Papua New Guinea with a vaccine that is being questioned by Australian medical authorities.,Australian authorities question safety of AstraZeneca Covid-19 vaccination
0.18518518518518517,"Russian military paratroopers have landed in Ukraine, near Kharkov.",Video shows Russian soldiers landing in Ukraine in 2022
0.03184713375796178,Drinking water and gargling with warm water and salt or vinegar can eliminate the coronavirus.,Philippines lifts coronavirus restrictions on basketball games in November 2020 for entire country
0.5698720166032515,China has opened an 880 km highway linking their country to Pakistan,Video shows China has opened an 880-kilometre highway to Pakistan
0.22142857142857147,Hurricane Shaheen was visible from the Burj Khalifa in Dubai as it hit the shores of Oman.,Video of Hurricane Shaheen in Oman
0.23148148148148148,News Ltd incorrectly reported a link between the Melbourne COVID-19 outbreak and the Black Lives Matter protest,The Australian publishes apology on Black Lives Matter story
